notriad;no_order;emotion;FINAL
2;2;2;3.0033
2;2;2;2.0872
2;2;2;21.1462
2;2;2;11.0685
2;2;2;5.8875
2;2;2;20.4375
2;2;2;2.6959
2;2;2;3.6298
2;2;2;2.5654
2;2;2;17.5387
2;2;2;15.4942
2;2;2;0.9659
2;2;2;24.1645
2;2;2;23.4432
2;2;2;3.1466
2;2;2;20.8133
2;2;2;25.5750
2;2;2;2.4074
2;2;2;12.4484
2;2;2;17.6419
2;2;2;3.0795
2;2;2;23.2362
2;2;2;19.8872
2;2;2;26.7009
2;2;2;6.5968
2;2;2;8.6533
2;2;2;24.4673
2;2;2;0.8539
2;2;2;1.0990
2;2;2;27.2668
2;2;2;3.3366
2;2;2;1.5246
2;2;2;21.7648
2;2;2;11.6871
2;2;2;6.4963
2;2;2;21.0560
2;2;2;1.9837
2;2;2;4.2483
2;2;2;30.0471
2;2;2;9.9429
2;2;2;12.0056
